,date,equipe_dom,equipe_ext
0,20.11. 17:00,Qatar,Ecuador
1,21.11. 14:00,England,Iran
2,21.11. 17:00,Senegal,Netherlands
3,21.11. 20:00,USA,Wales
4,22.11. 11:00,Argentina,Saudi Arabia
5,22.11. 14:00,Denmark,Tunisia
6,22.11. 17:00,Mexico,Poland
7,22.11. 20:00,France,Australia
8,23.11. 11:00,Morocco,Croatia
9,23.11. 14:00,Germany,Japan
10,23.11. 17:00,Spain,Costa Rica
11,23.11. 20:00,Belgium,Canada
12,24.11. 11:00,Switzerland,Cameroon
13,24.11. 14:00,Uruguay,South Korea
14,24.11. 17:00,Portugal,Ghana
15,24.11. 20:00,Brazil,Serbia
16,25.11. 11:00,Wales,Iran
17,25.11. 14:00,Qatar,Senegal
18,25.11. 17:00,Netherlands,Ecuador
19,25.11. 20:00,England,USA
20,26.11. 11:00,Tunisia,Australia
21,26.11. 14:00,Poland,Saudi Arabia
22,26.11. 17:00,France,Denmark
23,26.11. 20:00,Argentina,Mexico
24,27.11. 11:00,Japan,Costa Rica
25,27.11. 14:00,Belgium,Morocco
26,27.11. 17:00,Croatia,Canada
27,27.11. 20:00,Spain,Germany
28,28.11. 11:00,Cameroon,Serbia
29,28.11. 14:00,South Korea,Ghana
30,28.11. 17:00,Brazil,Switzerland
31,28.11. 20:00,Portugal,Uruguay
32,29.11. 16:00,Ecuador,Senegal
33,29.11. 16:00,Netherlands,Qatar
34,29.11. 20:00,Iran,USA
35,29.11. 20:00,Wales,England
36,30.11. 16:00,Australia,Denmark
37,30.11. 16:00,Tunisia,France
38,30.11. 20:00,Poland,Argentina
39,30.11. 20:00,Saudi Arabia,Mexico
40,01.12. 16:00,Canada,Morocco
41,01.12. 16:00,Croatia,Belgium
42,01.12. 20:00,Costa Rica,Germany
43,01.12. 20:00,Japan,Spain
44,02.12. 16:00,Ghana,Uruguay
45,02.12. 16:00,South Korea,Portugal
46,02.12. 20:00,Cameroon,Brazil
47,02.12. 20:00,Serbia,Switzerland
