,team,nb_match,win,draw,lose,GF,GA,GD,pts,Group
0,Arsenal,6,5,0,1,8,3,5,15,A
1,PSV,6,4,1,1,15,4,11,13,A
2,Bodø/Glimt,6,1,1,4,5,10,-5,4,A
3,Zürich,6,1,0,5,5,16,-11,3,A
4,Fenerbahçe,6,4,2,0,13,7,6,14,B
5,Rennes,6,3,3,0,11,8,3,12,B
6,AEK Larnaca,6,1,2,3,7,10,-3,5,B
7,Dynamo Kyiv,6,0,1,5,5,11,-6,1,B
8,Betis,6,5,1,0,12,4,8,16,C
9,Roma,6,3,1,2,11,7,4,10,C
10,Ludogorets,6,2,1,3,8,9,-1,7,C
11,HJK,6,0,1,5,2,13,-11,1,C
12,Union SG,6,4,1,1,11,7,4,13,D
13,Union Berlin,6,4,0,2,4,2,2,12,D
14,Braga,6,3,1,2,9,7,2,10,D
15,Malmö,6,0,0,6,3,11,-8,0,D
16,Real Sociedad,6,5,0,1,10,2,8,15,E
17,Man United,6,5,0,1,10,3,7,15,E
18,Sheriff,6,2,0,4,4,10,-6,6,E
19,Omonoia,6,0,0,6,3,12,-9,0,E
20,Feyenoord,6,2,2,2,13,9,4,8,F
21,Midtjylland,6,2,2,2,12,8,4,8,F
22,Lazio,6,2,2,2,9,11,-2,8,F
23,Sturm,6,2,2,2,4,10,-6,8,F
24,Freiburg,6,4,2,0,13,3,10,14,G
25,Nantes,6,3,0,3,6,11,-5,9,G
26,Qarabağ,6,2,2,2,9,5,4,8,G
27,Olympiacos,6,0,2,4,2,11,-9,2,G
28,Ferencváros,6,3,1,2,8,9,-1,10,H
29,Monaco,6,3,1,2,9,8,1,10,H
30,Trabzonspor,6,3,0,3,11,9,2,9,H
31,Crvena zvezda,6,2,0,4,9,11,-2,6,H
