,Rank,Equipe,Country,Pass_accuracy,Pass_attempted,Pass_completed,Cross_accuracy,Cross_attempted,Cross_completed,Freekick,Match_Played,Possesion
0,01,Man_United,England,87.7,3778,3328,24,95,23,63,6,61.8
1,02,Betis,Spain,87.3,3308,2901,31,70,22,67,6,52.7
2,03,Trabzonspor,Türkiye,85.7,3326,2880,25,93,24,84,6,58.8
3,03,Bodø/Glimt,Norway,85.7,3134,2694,16,71,12,67,6,51.8
4,05,Arsenal,England,85.5,3335,2876,31,98,31,78,6,59.3
5,06,Lazio,Italy,85.3,3662,3142,24,77,19,78,6,58
6,07,Roma,Italy,85.2,2895,2470,33,105,35,86,6,53
7,08,Fenerbahçe,Türkiye,84,2918,2452,18,88,16,118,6,58.7
8,09,Ludogorets,Bulgaria,83.8,2705,2277,19,63,12,85,6,50
9,10,Real_Sociedad,Spain,83.3,3221,2696,20,81,17,67,6,58.8
10,11,PSV,Netherlands,82.5,2696,2252,25,60,15,68,6,44.7
11,12,Braga,Portugal,82,3070,2521,28,88,25,101,6,55.5
12,12,Freiburg,Germany,82,2998,2481,26,103,27,65,6,52.5
13,14,Rennes,France,81.8,2569,2125,32,98,32,81,6,49.2
14,15,Qarabağ,Azerbaijan,81.2,2787,2261,17,78,14,67,6,56.7
