,Rank,Equipe,Country,Goals,Penalty,Match_Played
0,01,PSV,Netherlands,15,0,6
1,02,Freiburg,Germany,13,2,6
2,02,Feyenoord,Netherlands,13,2,6
3,02,Fenerbahçe,Türkiye,13,2,6
4,05,Midtjylland,Denmark,12,1,6
5,05,Betis,Spain,12,1,6
6,07,Roma,Italy,11,3,6
7,07,Union_SG,Belgium,11,0,6
8,07,Rennes,France,11,0,6
9,07,Trabzonspor,Türkiye,11,0,6
10,11,Man_United,England,10,1,6
11,11,Real_Sociedad,Spain,10,1,6
12,13,Crvena_zvezda,Serbia,9,2,6
13,13,Monaco,France,9,2,6
14,13,Qarabağ,Azerbaijan,9,1,6
