,team,nb_match,win,draw,lose,GF,GA,GD,pts
0,Napoli,6,5,0,1,20,6,14,15
1,Liverpool,6,5,0,1,17,6,11,15
2,Ajax,6,2,0,4,11,16,-5,6
3,Rangers,6,0,0,6,2,22,-20,0
4,Porto,6,4,0,2,12,7,5,12
5,Club Brugge,6,3,2,1,7,4,3,11
6,Leverkusen,6,1,2,3,4,8,-4,5
7,Atlético,6,1,2,3,5,9,-4,5
8,Bayern,6,6,0,0,18,2,16,18
9,Inter,6,3,1,2,10,7,3,10
10,Barcelona,6,2,1,3,12,12,0,7
11,Plzeň,6,0,0,6,5,24,-19,0
12,Tottenham,6,3,2,1,8,6,2,11
13,Frankfurt,6,3,1,2,7,8,-1,10
14,Sporting CP,6,2,1,3,8,9,-1,7
15,Marseille,6,2,0,4,8,8,0,6
16,Chelsea,6,4,1,1,10,4,6,13
17,Milan,6,3,1,2,12,7,5,10
18,Salzburg,6,1,3,2,5,9,-4,6
19,Dinamo Zagreb,6,1,1,4,4,11,-7,4
20,Real Madrid,6,4,1,1,15,6,9,13
21,Leipzig,6,4,0,2,13,9,4,12
22,Shakhtar Donetsk,6,1,3,2,8,10,-2,6
23,Celtic,6,0,2,4,4,15,-11,2
24,Man City,6,4,2,0,14,2,12,14
25,Dortmund,6,2,3,1,10,5,5,9
26,Sevilla,6,1,2,3,6,12,-6,5
27,Copenhagen,6,0,3,3,1,12,-11,3
28,Benfica,6,4,2,0,16,7,9,14
29,Paris,6,4,2,0,16,7,9,14
30,Juventus,6,1,0,5,9,13,-4,3
31,M. Haifa,6,1,0,5,7,21,-14,3
