,Rank,Equipe,Country,Total_attempt,Attempt_on_target,Attempt_off_target,Blocked,Match_played
0,01,Real_Madrid,Spain,114,42,49,23,6
1,02,Liverpool,England,110,47,39,24,6
2,03,Man_City,England,109,42,36,31,6
3,04,Bayern,Germany,106,51,34,21,6
4,04,Napoli,Italy,106,44,43,19,6
5,06,Atlético,Spain,94,35,33,26,6
6,07,Barcelona,Spain,92,34,33,25,6
7,07,Chelsea,England,92,33,33,26,6
8,09,Benfica,Portugal,83,34,29,20,6
9,09,Porto,Portugal,83,31,31,21,6
10,09,Leverkusen,Germany,83,29,33,21,6
11,12,Celtic,Scotland,82,29,34,19,6
12,12,Salzburg,Austria,82,26,36,20,6
13,12,Marseille,France,82,24,37,21,6
14,15,Paris,France,80,36,28,16,6
