,Rank,Equipe,Country,Ball_recover,Tackles,Tackles_Won,Tackles_Lost,Clearence_attempt,Match_played
0,01,Frankfurt,Germany,296,67,23,44,88,6
1,02,Chelsea,England,278,66,25,41,82,6
2,03,Salzburg,Austria,272,101,46,55,125,6
3,04,Leverkusen,Germany,266,78,27,51,127,6
4,05,Bayern,Germany,255,85,32,53,78,6
5,05,Napoli,Italy,255,66,25,41,112,6
6,07,Benfica,Portugal,252,93,35,58,111,6
7,07,Dortmund,Germany,252,68,26,42,100,6
8,09,Ajax,Netherlands,246,93,42,51,102,6
9,10,Leipzig,Germany,245,51,26,25,72,6
10,11,M._Haifa,Israel,244,84,20,64,130,6
11,12,Liverpool,England,243,81,34,47,58,6
12,12,Marseille,France,243,55,11,44,63,6
13,14,Porto,Portugal,242,76,25,51,113,6
14,15,Tottenham,England,241,73,11,62,110,6
