,Rank,Equipe,Country,Fouls_Commited,Fouls_Suffered,Yellow_card,Red_card,Match_Played
0,01,Chelsea,England,82,83,12,0,6
1,01,Frankfurt,Germany,82,63,14,1,6
2,03,Leverkusen,Germany,80,50,19,1,6
3,04,Ajax,Netherlands,78,48,15,1,6
4,05,Salzburg,Austria,77,50,11,0,6
5,05,M._Haifa,Israel,77,46,14,0,6
6,07,Milan,Italy,74,62,15,1,6
7,07,Bayern,Germany,74,61,11,0,6
8,09,Tottenham,England,71,57,15,1,6
9,09,Benfica,Portugal,71,51,13,0,6
10,09,Copenhagen,Denmark,71,42,12,1,6
11,12,Juventus,Italy,68,67,14,0,6
12,13,Sporting,CP,Portugal,67,73,6,17
13,13,Liverpool,England,67,47,8,0,6
14,15,Marseille,France,66,81,11,1,6
