,Rank,Equipe,Country,Save,Goal_conceded,Own_goals_conceded,Saves_from_penalty,Punches_made,Match_played
0,01,Plzeň,Czech,Republic,32,24,0,0,2
1,02,Shakhtar_Donetsk,Ukraine,31,10,2,0,10,6
2,02,Club_Brugge,Belgium,31,4,0,5,5,6
3,04,Rangers,Scotland,29,22,0,0,0,6
4,04,Inter,Italy,29,7,1,3,4,6
5,06,Copenhagen,Denmark,27,12,1,2,0,6
6,07,Dinamo_Zagreb,Croatia,25,11,1,1,2,6
7,08,Porto,Portugal,23,7,1,3,4,6
8,09,Ajax,Netherlands,22,16,0,1,1,6
9,09,Sporting,CP,Portugal,22,9,0,2,2
10,09,Salzburg,Austria,22,9,0,1,3,6
11,12,M._Haifa,Israel,21,21,1,1,2,6
12,13,Juventus,Italy,20,13,0,0,1,6
13,13,Milan,Italy,20,7,0,2,2,6
14,13,Real_Madrid,Spain,20,6,0,2,4,6
